kolumna1;kolumna2;kolumna3;kolumna4;kolumna5;kolumna6;kolumna7;kolumna8;kolumna9;kolumna10;kolumna11;kolumna12;kolumna13;kolumna14;kolumna15;kolumna16(Class attr)
b;0,1203174603174603;0,26785714285714285;u;g;aa;v;0,04964912280701755;t;t;0,014925373134328358;f;g;0,04;0,098;+
b;0,46158730158730155;0,16517857142857142;u;g;q;v;0,1607017543859649;t;f;0;f;s;0;0;+
b;0,38761904761904764;0,36160714285714285;u;g;x;v;0,08771929824561403;t;t;0,08955223880597014;f;g;0,26;0,00196;+
b;0,10714285714285714;0,35714285714285715;y;p;c;v;0,08771929824561403;t;f;0;f;s;0,02;0;+
b;0,5476190476190477;0,8958928571428572;u;g;w;v;0,06140350877192982;t;t;0,04477611940298507;f;g;0,06;0,00014;+
b;0,2314285714285714;0,17857142857142858;u;g;w;v;0,38596491228070173;t;f;0;t;g;0,035;0;+
b;0,07539682539682539;0,07142857142857142;u;g;i;v;0,05263157894736842;t;t;0,029850746268656716;f;g;0,06;0,003;+
b;0,3082539682539683;0,10857142857142857;y;p;c;h;0,07157894736842105;t;t;0,014925373134328358;t;g;0,09;0,18027;+
b;0,49603174603174605;0,30357142857142855;u;g;cc;h;0,49122807017543857;t;t;0,014925373134328358;t;g;0,044;0,02;+
a;0,09396825396825399;0,0075;u;g;q;h;0,010175438596491228;t;t;0,16417910447761194;f;g;0,04;0,00099;+
b;0,12825396825396823;0,39285714285714285;u;g;x;v;0,010175438596491228;t;t;0,08955223880597014;f;g;0,0605;0;+
b;0,42063492063492064;0,7678571428571429;u;g;e;z;0,7017543859649122;t;t;0,16417910447761194;f;g;0;0,012;+
b;0,4392063492063492;0,17857142857142858;u;g;q;h;0,17543859649122806;t;t;0,08955223880597014;t;g;0,235;0;+
a;0,06476190476190473;0,39285714285714285;u;g;x;h;0,03508771929824561;t;t;0,16417910447761194;f;g;0;0,03;+
b;0,14952380952380956;0,39732142857142855;u;g;x;h;0,016140350877192983;t;t;0,014925373134328358;f;g;0,05;0;+
b;0,07015873015873018;0,36607142857142855;u;g;c;h;0,03807017543859649;f;f;0;f;g;0,16;0,00013;-
b;0,0992063492063492;0,3944642857142857;u;g;c;v;0,07017543859649122;f;f;0;t;g;0,068;0;-
b;0,0992063492063492;0;u;g;d;v;0,017543859649122806;f;f;0;f;g;0,072;0;-
a;0,1111111111111111;0,3407142857142857;u;g;i;v;0,0014035087719298247;f;f;0;f;g;0,1;0,01;-
a;0,17063492063492064;0,0625;y;p;c;v;0,005789473684210527;f;f;0;f;g;0,066;0;-
b;0,30158730158730157;0,08339285714285714;u;g;d;h;0,20175438596491227;f;f;0;t;g;0,146;0;-
a;0,6098412698412699;0;y;p;ff;ff;0;f;f;0;f;g;0;0;-
a;0,5463492063492064;0,047678571428571424;u;g;i;o;0,011754385964912281;f;f;0;f;g;0;0,0012;-
a;0,1058730158730159;0,375;y;p;x;h;0;f;f;0;t;g;0,077;0,00032;-
b;0,5873015873015873;0,02089285714285714;u;g;ff;ff;0;f;f;0;f;g;0,0725;0;-
b;0,05285714285714283;0,003035714285714286;y;p;c;v;0,0014035087719298247;f;f;0;f;g;0,07;0,00722;-
b;0,07269841269841266;0,04321428571428571;y;p;e;dd;0;f;f;0;f;g;0,05;0;-
a;0,2896825396825397;0,21428571428571427;u;g;d;v;0,043859649122807015;f;f;0;f;g;0,136;0;-
b;0,7288888888888889;0,055;u;g;q;v;0,0043859649122807015;t;f;0;t;g;0,13;0;+
b;0,06746031746031746;0,005892857142857143;u;g;q;n;0,007368421052631579;f;f;0;f;g;0,1;0,0004;+
b;0,2949206349206349;0,08928571428571429;u;g;c;v;0,043859649122807015;f;f;0;t;g;0,14;0;-
b;0,0687301587301587;0,24107142857142858;y;p;m;v;0,0014035087719298247;f;f;0;f;g;0,07;0;-
b;0,3888888888888889;0,36160714285714285;y;p;k;v;0,0043859649122807015;f;f;0;f;g;0,08;0;-
b;0,26857142857142857;0,08928571428571429;u;g;cc;h;0,07894736842105263;f;f;0;t;s;0,17;0;-
b;0,07666666666666663;0,20392857142857143;u;g;d;v;0,018947368421052633;f;f;0;f;g;0,06;0;-
a;0,08603174603174606;0,19339285714285714;u;g;i;h;0,010175438596491228;f;f;0;f;g;0,04;0,00484;-
a;0,07015873015873018;0,35714285714285715;y;p;q;h;0,005789473684210527;f;f;0;f;g;0,17;0;-
b;0,03968253968253968;0,02982142857142857;u;g;m;v;0,0029824561403508773;t;f;0;f;s;0,1;0;-
b;0,1177777777777778;0,03125;y;p;c;h;0,008771929824561403;f;f;0;f;g;0,14;0,00204;-
b;0,16142857142857145;0,02089285714285714;y;p;cc;h;0,0043859649122807015;f;f;0;f;g;0,12;1E-05;-
b;0,06222222222222225;0,15928571428571428;u;g;c;v;0,008771929824561403;f;f;0;f;s;0,04;0;-
a;0,04365079365079365;0,044642857142857144;u;g;q;v;0,008771929824561403;f;t;0,014925373134328358;f;g;0,054;0,00098;-
b;0,15079365079365079;0,45089285714285715;u;g;c;v;0,0043859649122807015;f;t;0,029850746268656716;f;g;0;0,05552;-
b;0,06079365079365077;0,35714285714285715;u;g;w;h;0,005789473684210527;f;t;0,014925373134328358;f;g;0,06;1E-05;-
b;0,25;0,020714285714285713;u;g;w;v;0,010175438596491228;f;t;0,014925373134328358;f;g;0,17;0,02803;-
b;0,0806349206349206;0,01482142857142857;y;p;c;v;0,005789473684210527;f;t;0,014925373134328358;f;g;0,1;1E-05;-
a;0,12698412698412698;0,0625;y;p;j;j;0;f;f;0;f;g;0,08;0;-
b;0,14682539682539683;0,026785714285714284;u;g;m;v;0,017543859649122806;f;f;0;t;s;0,16;0;-
a;0,07142857142857142;0,35714285714285715;u;g;w;v;0,03508771929824561;f;t;0,014925373134328358;f;g;0,06;1E-05;-
b;0,18523809523809526;0,019285714285714288;u;g;w;v;0,005789473684210527;f;t;0,014925373134328358;f;g;0,136;0,00444;-
b;0,3492063492063492;0,08625000000000001;u;g;w;v;0,0043859649122807015;f;t;0,029850746268656716;f;g;0,11;1E-05;-
a;0,03698412698412696;0,011964285714285715;u;g;ff;ff;0;f;t;0,014925373134328358;f;g;0,08;0,00126;-
a;0,28841269841269845;0,11160714285714286;u;g;ff;ff;0,10666666666666667;f;t;0,029850746268656716;t;g;0,1;4E-05;-
b;0,8796825396825397;0,32142857142857145;u;g;ff;ff;0,14035087719298245;f;t;0,014925373134328358;f;g;0,035;6E-05;-
b;0,3042857142857143;0,08928571428571429;u;g;aa;v;0,06140350877192982;f;t;0,029850746268656716;t;g;0,36;0;-
b;0,04095238095238093;0,09821428571428571;u;g;aa;v;0,023333333333333334;f;t;0,014925373134328358;f;g;0,04;0,00021;-
b;0,1336507936507937;0,4330357142857143;u;g;c;v;0,11701754385964912;f;t;0,029850746268656716;t;g;0,09;0,00173;-
a;0,6957142857142857;0,07142857142857142;u;g;ff;ff;0,22807017543859648;f;t;0,014925373134328358;f;g;0;0,0001;-
b;0,07142857142857142;0,005892857142857143;u;g;d;v;0,008771929824561403;f;f;0;t;s;0,14;0;-
b;0,1534920634920635;0,03571428571428571;u;g;c;v;0,017543859649122806;f;f;0;t;s;0,14;0;-
a;0,034444444444444444;0,10267857142857142;u;g;q;v;0,0029824561403508773;f;f;0;f;g;0,06;0;-
a;0,1746031746031746;0,48803571428571424;u;g;q;h;0,05263157894736842;f;f;0;f;g;0,14;1E-05;-
b;0,5555555555555556;0,9405357142857144;y;p;ff;ff;0;t;f;0;t;g;0;0;-
b;0,15476190476190477;0,09821428571428571;u;g;ff;ff;0,15789473684210525;f;f;0;f;g;0,08;0,00025;-
b;0,07666666666666663;0,3675;u;g;ff;ff;0,01456140350877193;f;f;0;f;g;0,04;0;-
b;0,2222222222222222;0,046071428571428576;u;g;k;h;0,008771929824561403;f;f;0;t;s;0,07;0;-
a;0,2857142857142857;0,10714285714285714;y;p;j;j;0;f;f;0;f;g;0,08;0,0002;-
a;0,17587301587301585;0,16071428571428573;u;g;w;v;0,03508771929824561;f;f;0;t;g;0,18;6E-05;-
b;0,08333333333333333;0,0625;y;p;c;v;0,0819298245614035;f;f;0;t;g;0,056;6E-05;-
a;0,04095238095238093;0,0075;u;g;aa;v;0,0043859649122807015;f;f;0;f;g;0,1;1E-05;-
a;0,07666666666666663;0,35714285714285715;u;g;d;v;0,01456140350877193;f;f;0;f;g;0,04;0,00042;-
b;0,03968253968253968;0;y;p;aa;v;0,008771929824561403;f;f;0;f;g;0,03;0;-
b;0,14682539682539683;0,026785714285714284;u;g;m;v;0,017543859649122806;t;f;0;t;s;0,16;0;-
b;0,1177777777777778;0,008928571428571428;y;p;c;h;0,008771929824561403;f;f;0;f;g;0,14;0,00204;-
b;0,05952380952380952;0,7857142857142857;l;gg;ff;o;0;f;f;0;t;p;0,225;1;+
b;0,08603174603174606;0;y;p;m;bb;0;f;f;0;t;s;0,25;1E-05;+
b;0,36507936507936506;0,004464285714285714;y;p;c;v;0,05263157894736842;f;f;0;t;g;0,116;0,00113;+
b;0,11904761904761904;0,05357142857142857;u;g;w;v;0,05263157894736842;f;f;0;f;g;0,075;8E-05;+
a;0,0687301587301587;0,013392857142857142;l;gg;cc;ff;0,3508771929824561;f;f;0;t;s;0,15;0;+
a;0,31619047619047624;0,013392857142857142;u;g;cc;v;0,013157894736842105;f;f;0;f;g;0,15;0,00044;+
b;0,5528571428571428;0,007321428571428571;y;p;k;v;0,008771929824561403;t;t;0,16417910447761194;f;g;0,19;0,02732;+
b;0,31619047619047624;0,044642857142857144;u;g;w;v;0,040877192982456144;f;f;0;f;g;0,06;0;-
a;0,25;0,03875;y;p;x;v;0,03508771929824561;f;f;0;f;g;0,14;0,00013;-
b;0,26063492063492066;0,03875;y;p;c;v;0,0014035087719298247;f;f;0;f;g;0,085;0,00179;-
b;0,33460317460317457;0,08928571428571429;y;p;w;v;0,10526315789473684;f;f;0;f;s;0,1;0;-
a;0,30952380952380953;0,08928571428571429;y;p;c;v;0,08771929824561403;f;f;0;t;g;0;2E-05;-
b;0,32269841269841265;0,08928571428571429;u;g;c;v;0,03508771929824561;f;f;0;f;g;0,23;0,00016;-
a;0,18253968253968253;0,44642857142857145;u;g;d;v;0,03508771929824561;f;f;0;t;g;0,09;0,01062;-
b;0,3333333333333333;0,08928571428571429;u;g;cc;bb;0,017543859649122806;f;f;0;f;g;0,174;0;-
b;0,22095238095238098;0,026785714285714284;u;g;q;h;0,005789473684210527;f;f;0;t;g;0,11;0,00251;-
b;0,5330158730158729;0,23214285714285715;u;g;c;v;0,03508771929824561;f;f;0;t;g;0;0,00228;-
a;0,33460317460317457;0,044642857142857144;y;p;i;h;0,017543859649122806;f;f;0;t;g;0,08;0;-
a;0,30952380952380953;0,10714285714285714;y;p;aa;v;0,07017543859649122;f;f;0;f;g;0,09;0;-
b;0,2261904761904762;0,10714285714285714;u;g;w;v;0,02631578947368421;f;f;0;t;g;0,15;0,00067;-
a;0,402063492063492;0,14285714285714285;u;g;c;v;0,10526315789473684;f;f;0;f;g;0,24;0;-
b;0,4603174603174603;0,14589285714285713;u;g;aa;v;0,0014035087719298247;f;f;0;f;g;0,054;0,001;-
b;0,20904761904761907;0,08035714285714286;u;g;i;bb;0,017543859649122806;f;f;0;t;g;0,32;0,04;-
b;0,31746031746031744;0,09821428571428571;u;g;i;bb;0;f;f;0;f;g;0,09;0;-
b;0,39952380952380956;0,0625;u;g;k;v;0,017543859649122806;f;f;0;t;g;0,15;2E-05;-
b;0,7777777777777778;0,25;u;g;e;z;0;f;f;0;f;g;0;0,00012;-
b;0,20634920634920634;0,16071428571428573;y;p;c;bb;0,08771929824561403;f;f;0;f;g;0,1;0,0121;-
b;0,786984126984127;0,019285714285714288;u;g;c;v;0,020526315789473684;t;t;0,04477611940298507;t;g;0,09;0;-
b;0,22349206349206346;0,05357142857142857;u;g;w;v;0,07894736842105263;f;t;0,014925373134328358;t;g;0,05;3E-05;-
a;0,19714285714285718;0,07142857142857142;u;g;j;j;0;f;f;0;t;g;0,138;1E-05;-
b;0,1336507936507937;0,02089285714285714;y;p;ff;ff;0;f;f;0;f;g;0,05;0;-
b;0,1388888888888889;0,4107142857142857;y;p;m;v;0,05263157894736842;f;f;0;t;g;0;0,04;-
b;0,2698412698412698;0,056607142857142856;u;g;d;v;0,020526315789473684;f;f;0;t;s;0;0;-
b;0,36380952380952386;0,07142857142857142;u;g;i;v;0,008771929824561403;f;f;0;t;g;0,1105;0;-
a;0,03571428571428571;0,005892857142857143;u;g;aa;v;0,03508771929824561;f;t;0,029850746268656716;t;g;0,16;1E-05;-
b;0,43523809523809526;0,047678571428571424;u;g;d;v;0,005789473684210527;f;f;0;f;g;0,084;0;-
a;0,09126984126984126;0,005892857142857143;u;g;q;v;0,0014035087719298247;f;f;0;t;g;0,19;0;-
b;0,29634920634920636;0,10714285714285714;u;g;d;v;0,005789473684210527;f;f;0;t;g;0,06;0;-
a;0,36507936507936506;0,1682142857142857;u;g;ff;ff;0;f;f;0;f;g;0,08;0;-
a;0,2619047619047619;0,19642857142857142;u;g;k;v;0,19298245614035087;f;f;0;t;s;0,05;0;-
b;0,14809523809523806;0,08928571428571429;u;g;ff;ff;0,0029824561403508773;f;f;0;t;g;0,05;0,04208;-
b;0,2076190476190476;0,019285714285714288;u;g;k;ff;0;f;f;0;f;g;0,05;0;-
b;0,050317460317460344;0,011964285714285715;y;p;k;v;0,010175438596491228;f;f;0;f;s;0,1;0;-
b;0,16936507936507939;0,07142857142857142;u;g;e;dd;0,005789473684210527;f;t;0,029850746268656716;f;g;0,16;0,013;-
b;0,46158730158730155;0,044642857142857144;u;g;m;v;0,4868421052631579;f;t;0,014925373134328358;t;g;0,176;0,00112;-
a;0,14285714285714285;0,22017857142857142;u;g;aa;v;0,005789473684210527;f;f;0;f;g;0,11;0,01;-
b;0,40746031746031747;0,06107142857142857;y;p;m;v;0,005789473684210527;f;f;0;f;s;0,2;0;-
a;0,156031746031746;0,4107142857142857;y;p;k;h;0,10526315789473684;f;f;0;t;g;0,01;0,00016;-
b;0,12174603174603177;0,026785714285714284;y;p;r;n;0,02631578947368421;f;f;0;t;g;0,066;2E-05;-
b;0,3055555555555556;0,08928571428571429;y;p;w;v;0,24561403508771928;f;f;0;t;g;0,14;0;-
b;0,19968253968253966;0,4642857142857143;u;g;e;dd;0;f;f;0;t;g;0,07;0,0111;-
a;0,49603174603174605;0,16375;u;g;k;h;0,03508771929824561;f;f;0;t;s;0,12;0;-
b;0,1984126984126984;0,055;u;g;w;v;0,0043859649122807015;f;f;0;f;g;0,05;0;-
a;0,11238095238095236;0,017857142857142856;y;p;e;dd;0,03508771929824561;f;f;0;f;g;0,13;0;-
b;0,23682539682539686;0,5178571428571429;u;g;d;v;0,0043859649122807015;f;f;0;f;g;0;0,00286;-
b;0,10984126984126986;0,02982142857142857;y;p;c;v;0,07017543859649122;f;f;0;t;s;0,12;0;-
b;0,3280952380952381;0,047678571428571424;u;g;i;bb;0,0043859649122807015;f;f;0;t;g;0,22;0,045;-
b;0,31476190476190474;0,008928571428571428;u;g;i;bb;0,14035087719298245;f;f;0;t;s;0,21;0;-
b;0,466984126984127;0,17857142857142858;u;g;i;bb;0,07894736842105263;f;f;0;t;g;0,0705;0;-
a;0,14158730158730162;0,25;u;g;c;v;0,005789473684210527;f;f;0;f;g;0,08;0;-
a;0,1679365079365079;0,08928571428571429;y;p;i;bb;0,15789473684210525;f;f;0;f;g;0,1;0,00456;-
a;0,6838095238095238;0,15178571428571427;y;p;ff;ff;0,17543859649122806;f;f;0;t;g;0;4E-05;-
b;0,13222222222222219;0,4092857142857143;u;g;k;v;0,055614035087719296;f;f;0;t;g;0,05;0,01212;-
b;0,32142857142857145;0,19642857142857142;y;p;c;v;0,05263157894736842;f;f;0;t;g;0,03;0;-
b;0,14015873015873012;0,05357142857142857;y;p;aa;v;0,018947368421052633;f;f;0;t;g;0,06;0,00067;-
b;0,1177777777777778;0;u;g;c;v;0,017543859649122806;f;f;0;t;s;0;0;-
b;0,2050793650793651;0,5208928571428572;u;g;i;bb;0;f;f;0;t;g;0,089;0;-
b;0,14555555555555558;0,006071428571428572;u;g;m;v;0,0029824561403508773;f;f;0;f;s;0;0;-
b;0,02253968253968254;0,25;u;g;e;v;0,03508771929824561;f;f;0;f;g;0,3;0;-
b;0,41539682539682543;0,17857142857142858;u;g;i;bb;0,007368421052631579;f;f;0;f;g;0,275;0;-
b;0,216984126984127;0,44642857142857145;u;g;aa;bb;0,008771929824561403;f;f;0;t;g;0,36;0;-
b;0,1746031746031746;0,019285714285714288;u;g;m;v;0,03508771929824561;f;f;0;t;g;0,06;1E-05;-
b;0,43523809523809526;0,044642857142857144;y;p;w;v;0,008771929824561403;f;f;0;f;g;0;0,00195;-
a;0,3068253968253968;0,05803571428571429;u;g;d;v;0,018947368421052633;f;f;0;t;g;0;0;-
b;0,2552380952380952;0,07285714285714286;y;p;x;h;0,0014035087719298247;f;f;0;f;g;0,064;1E-05;-
a;0,156031746031746;0,02089285714285714;y;p;ff;ff;0,0043859649122807015;f;f;0;f;g;0,06;0,00087;-
b;0,19714285714285718;0,44642857142857145;y;p;k;h;0,043859649122807015;f;f;0;t;g;0;0,00017;-
b;0,27380952380952384;0,07446428571428572;u;g;c;v;0,0029824561403508773;f;f;0;f;g;0,15;0;-
b;0,1111111111111111;0,18160714285714286;y;p;j;v;0,010175438596491228;f;f;0;f;g;0,07;0,00184;-
b;0,2407936507936508;0,013392857142857142;u;g;c;v;0,010175438596491228;f;f;0;f;g;0,11;0,0014;-
a;0,6058730158730159;0,23214285714285715;u;g;i;bb;0,10824561403508771;f;f;0;t;g;0,0365;0;-
a;0,14158730158730162;0,011964285714285715;u;g;q;v;0,02631578947368421;f;f;0;f;s;0,08;0;-
b;0,32142857142857145;0,18160714285714286;y;p;i;bb;0,03807017543859649;f;f;0;t;g;0,24;0;-
a;0,8849206349206349;0,21428571428571427;u;g;ff;ff;0;f;f;0;f;s;0;0;-
a;0,09253968253968252;0,02375;y;p;c;v;0,03508771929824561;f;t;0,014925373134328358;f;g;1;2E-05;-
b;0,03571428571428571;0,11160714285714286;u;g;w;v;0,0029824561403508773;f;t;0,014925373134328358;f;g;0;6E-05;-
b;0,05285714285714283;0,008928571428571428;u;g;q;v;0,011754385964912281;f;t;0,05970149253731343;f;g;0,08;8E-05;-
b;0,2777777777777778;0,10124999999999999;u;g;ff;ff;0;f;t;0,07462686567164178;f;g;0,088;0,00146;-
b;0,1812698412698413;0,10714285714285714;u;g;c;v;0,043859649122807015;f;t;0,014925373134328358;f;g;0;0,00022;-
a;0,14158730158730162;0,028214285714285716;u;g;i;v;0,0029824561403508773;f;f;0;f;g;0,072;0;-
b;0,42587301587301585;0,05357142857142857;u;g;i;bb;0;f;f;0;f;s;0,15;0;-
b;0,1349206349206349;0,016428571428571428;u;g;k;v;0,0043859649122807015;f;f;0;t;g;0,14;0,00055;-
a;0,1349206349206349;0,044642857142857144;y;p;ff;ff;0,11403508771929824;f;f;0;f;g;0,14;0;-
b;0,1388888888888889;0,004464285714285714;y;p;k;v;0,0043859649122807015;f;f;0;f;g;0,1;0,0007;-
b;0,156031746031746;0,06392857142857143;u;g;c;v;0,018947368421052633;f;f;0;t;g;0,068;1E-05;-
b;0,3915873015873016;0,02517857142857143;u;g;c;v;0,013157894736842105;f;t;0,029850746268656716;f;g;0,1125;0,005;-
a;0,2036507936507936;0,09071428571428572;y;p;ff;ff;0;f;f;0;t;g;0,09;0,0006;-
b;0,3373015873015873;0,08928571428571429;u;g;i;v;0,03508771929824561;f;f;0;t;g;0,105;0;-
b;0,1058730158730159;0,03875;u;g;q;v;0,05263157894736842;f;f;0;f;g;0,054;7E-05;-
b;0,24873015873015875;0,044642857142857144;u;g;w;v;0,06140350877192982;f;f;0;f;g;0,1;0;-
b;0,19714285714285718;0,02982142857142857;u;g;cc;v;0,040877192982456144;f;f;0;f;g;0,05;0;-
b;0,31619047619047624;0,07732142857142857;u;g;c;v;0,05263157894736842;f;f;0;f;p;0,06;0;-
b;0,17190476190476187;0,044642857142857144;u;g;c;v;0,008771929824561403;f;f;0;f;g;0,055;0;-
a;0,22095238095238098;0,07285714285714286;u;g;w;v;0,008771929824561403;f;f;0;t;g;0,09;0,0005;-
b;0,376984126984127;0,02982142857142857;u;g;e;v;0,0014035087719298247;f;f;0;f;g;0,06;5E-05;-
b;0,5622222222222223;0,08178571428571428;u;g;ff;ff;0,010175438596491228;f;f;0;f;g;0,1;3E-05;-
b;0,31476190476190474;0,011964285714285715;y;p;cc;v;0,0029824561403508773;f;f;0;f;g;0,09;0;-
b;0,6044444444444445;0,10714285714285714;y;p;ff;ff;0,05263157894736842;f;f;0;f;g;0,09;4E-05;-
b;0,14555555555555558;0,11303571428571428;y;p;c;v;0,005789473684210527;f;f;0;f;g;0,08;0,01058;-
b;0,12825396825396823;0,055;u;g;k;v;0,0029824561403508773;f;f;0;t;g;0,178;0;-
b;0,18253968253968253;0,03571428571428571;u;g;aa;v;0,017543859649122806;f;f;0;f;g;0,1;0;-
b;0,7115873015873015;0,09678571428571428;u;g;c;v;0,08473684210526317;f;f;0;t;g;0,16;0;-
b;0,08333333333333333;0;y;p;ff;ff;0;f;t;0,05970149253731343;f;g;0,0225;1E-05;-
b;0,09253968253968252;0,02089285714285714;u;g;ff;ff;0;f;t;0,04477611940298507;f;g;0,175;0,00769;-
a;0,6282539682539682;0,005892857142857143;u;g;ff;ff;0;f;f;0;t;s;0,031;0,00027;-
a;0,21301587301587305;0,044642857142857144;u;g;ff;ff;0;f;t;0,014925373134328358;f;g;0,046;0,003;-
b;0,1931746031746032;0,03125;u;g;k;v;0,013157894736842105;f;t;0,029850746268656716;t;g;0,087;3E-05;-
b;0,14809523809523806;0;u;g;k;v;0,03508771929824561;f;t;0,16417910447761194;f;s;0;0;-
b;0,41;0,17857142857142858;u;g;ff;ff;0;f;t;0,029850746268656716;f;g;0,0085;1E-05;-
b;0,2671428571428571;0,09678571428571428;y;p;m;v;0,0043859649122807015;f;f;0;t;s;0,04;0;-
b;0,05555555555555555;0,10714285714285714;u;g;k;v;0,0014035087719298247;f;f;0;t;g;0,08;0,0004;-
a;0,06222222222222225;0;y;p;j;ff;0;f;f;0;f;g;0,043;0;-
b;0,04365079365079365;0,004464285714285714;u;g;c;v;0,005789473684210527;f;f;0;f;g;0,066;0;-
a;0,21555555555555553;0,05946428571428571;u;g;ff;ff;0;f;f;0;f;g;0,17;1E-05;-
b;0,2777777777777778;0,04017857142857143;u;g;ff;ff;0;f;t;0,014925373134328358;f;g;0,048;0,00019;-
b;0,0992063492063492;0,25;u;g;c;v;0,017543859649122806;f;f;0;f;g;0;0;-
b;0,4087301587301587;0,05803571428571429;u;g;c;v;0,05263157894736842;f;f;0;f;g;0;0,00316;-
b;0,3611111111111111;0,15178571428571427;u;g;q;v;0,12280701754385964;f;f;0;f;g;0,227;0,0005;-
b;0,6138095238095238;0,05357142857142857;u;g;d;v;0,13157894736842105;f;f;0;t;g;0;0,0035;-
b;0,3558730158730159;0,6473214285714286;u;g;w;v;0,0029824561403508773;f;f;0;f;g;0,16;0,03552;-
b;0,2526984126984127;0,026785714285714284;y;p;c;v;0,0014035087719298247;f;f;0;f;g;0,12;0;-
b;0,3558730158730159;0,19642857142857142;u;g;i;bb;0,17543859649122806;f;f;0;f;g;0,105;0,00687;-
b;0,18920634920634924;0,010357142857142856;y;p;c;v;0,05263157894736842;f;f;0;t;g;0,08;0;-
a;0,17063492063492064;0,08625000000000001;y;p;c;v;0;f;f;0;f;g;0,06;0;-
b;0,16396825396825393;0,03125;u;g;m;v;0,0029824561403508773;f;t;0,05970149253731343;f;g;0,127;0,0195;-
b;0,1296825396825397;0,017857142857142856;u;g;c;v;0,0043859649122807015;f;f;0;f;g;0,18;0;-
a;0,36238095238095236;0,010357142857142856;u;g;ff;ff;0;f;t;0,14925373134328357;f;g;0,1;0,00018;-
a;0,14682539682539683;0,06553571428571428;u;g;j;j;0;f;t;0,014925373134328358;f;g;0,1;0,00053;-
a;0,2195238095238095;0,10714285714285714;u;g;m;v;0,09789473684210527;f;t;0,014925373134328358;t;g;0,14;0,0001;-
b;0,27507936507936503;0,11017857142857143;u;g;c;v;0,08771929824561403;f;t;0,029850746268656716;t;g;0,08;0,00041;-
a;0,2646031746031746;0,049107142857142856;u;g;w;h;0,0014035087719298247;f;t;0,04477611940298507;f;g;0;0,00033;-
b;0,13222222222222219;0,08339285714285714;u;g;k;v;0,02631578947368421;f;f;0;f;g;0,09;0;-
b;0,04095238095238093;0,14589285714285713;u;g;i;h;0,01456140350877193;f;f;0;t;g;0,06;0;-
a;0,1296825396825397;0,41660714285714284;u;g;k;h;0,0029824561403508773;f;f;0;f;g;0,16;5E-05;-
b;0,11634920634920633;0,14732142857142858;y;p;i;h;0,0014035087719298247;f;f;0;f;g;0,07;0,001;-
b;0,05825396825396828;0,23214285714285715;u;g;i;v;0,0043859649122807015;f;f;0;f;g;0,03;0,001;-
b;0,08603174603174606;0,14285714285714285;y;p;i;v;0,03508771929824561;f;f;0;t;g;0,18;0,01;-
b;0,10984126984126986;0,01482142857142857;u;g;c;v;0,0043859649122807015;f;f;0;f;g;0;0,00044;-
b;0,20634920634920634;0,07142857142857142;u;g;d;v;0,02631578947368421;f;f;0;t;g;0,04;0;-
b;0,156031746031746;0,02982142857142857;u;g;i;h;0,0029824561403508773;f;f;0;t;g;0,11;5E-05;-
b;0,4034920634920635;0,08928571428571429;y;p;i;h;0,3508771929824561;f;f;0;t;s;0,1;0;-
b;0,14285714285714285;0,4107142857142857;u;g;i;v;0,01456140350877193;f;f;0;f;g;0;0;-
a;0,050317460317460344;0,017857142857142856;u;g;i;v;0,005789473684210527;f;t;0,08955223880597014;t;g;0,12;0,00035;-
b;0,15476190476190477;0,11303571428571428;y;p;k;v;0,01456140350877193;f;t;0,014925373134328358;t;g;0,14;0,0008;-
a;0,0568253968253968;0,3392857142857143;u;g;aa;v;0,06140350877192982;f;t;0,14925373134328357;t;g;0;0,0001;-
b;0,15873015873015872;0,01482142857142857;y;p;c;v;0,0014035087719298247;f;t;0,029850746268656716;f;g;0,064;6E-05;-
b;0,3320634920634921;0,038571428571428576;u;g;m;v;0,040877192982456144;f;f;0;f;s;0,014;0;-
b;0,9695238095238095;0,6785714285714286;y;p;ff;ff;0,0014035087719298247;f;t;0,029850746268656716;f;g;0;0,00351;-
b;0,22888888888888892;0,004464285714285714;y;p;k;v;0,0029824561403508773;f;f;0;f;g;0,108;0,021;-
b;0,17063492063492064;0,47625;y;p;aa;v;0,0014035087719298247;f;f;0;t;g;0,06;0,00475;-
b;0,0806349206349206;0,12642857142857142;y;p;ff;ff;0;f;f;0;t;g;0,09;1E-05;-
a;0,5317460317460317;0,026785714285714284;u;g;q;h;0,09649122807017543;t;t;0,014925373134328358;f;g;0,1665;0,00892;+
b;0,16539682539682543;0,03125;u;g;q;v;0,16228070175438597;t;t;0,029850746268656716;t;g;0,26;0,02;+
b;0,40476190476190477;0,3392857142857143;u;g;m;v;0,22807017543859648;t;t;0,208955223880597;f;g;0,12;0,04607;+
a;0,10714285714285714;0,42267857142857146;u;g;c;h;0,21052631578947367;t;f;0;f;g;0,17;0;+
a;0,0806349206349206;0,15767857142857142;y;p;c;h;0,10526315789473684;t;f;0;f;g;0,12;0;+
b;0,08603174603174606;0,3392857142857143;u;g;w;v;0,05263157894736842;t;f;0;f;g;0,06;0,02206;+
a;0,17857142857142858;0,03125;u;g;x;h;0,03649122807017544;t;f;0;t;g;0,08;0,0586;+
b;0,10190476190476193;0,33035714285714285;u;g;c;v;0,05842105263157895;t;t;0,04477611940298507;t;g;0,02;0,00028;+
